climate_zone	county
3	Franklin County, Alabama
3	Franklin County, Arkansas
3	Franklin County, Mississippi
3	Franklin County, Texas
3	Franklin Parish, Louisiana
3	Fresno County, California
3	Fulton County, Georgia
3	Gaines County, Texas
3	Garfield County, Oklahoma
3	Garland County, Arkansas
3	Garvin County, Oklahoma
3	Garza County, Texas
3	Gaston County, North Carolina
3	Geneva County, Alabama
3	George County, Mississippi
3	Georgetown County, South Carolina
3	Gillespie County, Texas
3	Glascock County, Georgia
3	Glasscock County, Texas
3	Glenn County, California
3	Grady County, Oklahoma
3	Graham County, Arizona
3	Grant County, Arkansas
3	Grant County, Oklahoma
3	Grant Parish, Louisiana
3	Grayson County, Texas
3	Greene County, Alabama
3	Greene County, Arkansas
3	Greene County, Georgia
3	Greene County, Mississippi
3	Greene County, North Carolina
3	Greenlee County, Arizona
3	Greenville County, South Carolina
3	Greenwood County, South Carolina
3	Greer County, Oklahoma
3	Gregg County, Texas
3	Grenada County, Mississippi
3	Gwinnett County, Georgia
3	Hale County, Alabama
3	Hall County, Texas
3	Hamilton County, Texas
3	Hampton County, South Carolina
3	Hancock County, Georgia
3	Haralson County, Georgia
3	Hardeman County, Tennessee
3	Hardeman County, Texas
3	Hardin County, Tennessee
3	Harmon County, Oklahoma
3	Harper County, Oklahoma
3	Harris County, Georgia
3	Harrison County, Texas
3	Hart County, Georgia
3	Haskell County, Oklahoma
3	Haskell County, Texas
3	Haywood County, Tennessee
3	Heard County, Georgia
3	Hemphill County, Texas
3	Hempstead County, Arkansas
3	Henderson County, Tennessee
3	Henderson County, Texas
3	Henry County, Alabama
3	Henry County, Georgia
3	Hidalgo County, New Mexico
3	Hinds County, Mississippi
3	Hoke County, North Carolina
3	Holmes County, Mississippi
3	Hood County, Texas
3	Hopkins County, Texas
3	Horry County, South Carolina
3	Hot Spring County, Arkansas
3	Houston County, Alabama
3	Houston County, Georgia
3	Howard County, Arkansas
3	Howard County, Texas
3	Hudspeth County, Texas
3	Hughes County, Oklahoma
3	Humphreys County, Mississippi
3	Hunt County, Texas
3	Hyde County, North Carolina
3	Independence County, Arkansas
3	Irion County, Texas
3	Irwin County, Georgia
3	Issaquena County, Mississippi
3	Itawamba County, Mississippi
3	Jack County, Texas
3	Jackson County, Alabama
3	Jackson County, Arkansas
3	Jackson County, Georgia
3	Jackson County, Oklahoma
3	Jackson Parish, Louisiana
3	Jasper County, Georgia
3	Jasper County, Mississippi
3	Jasper County, South Carolina
3	Jeff Davis County, Texas
3	Jefferson County, Alabama
3	Jefferson County, Arkansas
3	Jefferson County, Georgia
3	Jefferson County, Mississippi
3	Jefferson County, Oklahoma
3	Jefferson Davis County, Mississippi
3	Jenkins County, Georgia
3	Johnson County, Arkansas
3	Johnson County, Georgia
3	Johnson County, Texas
3	Johnston County, North Carolina
3	Johnston County, Oklahoma
3	Jones County, Georgia
3	Jones County, Mississippi
3	Jones County, North Carolina
3	Jones County, Texas
3	Kaufman County, Texas
3	Kay County, Oklahoma
3	Kemper County, Mississippi
3	Kendall County, Texas
3	Kent County, Texas
3	Kern County, California
3	Kerr County, Texas
3	Kershaw County, South Carolina
3	Kimble County, Texas
3	King County, Texas
3	Kingfisher County, Oklahoma
3	Kings County, California
3	Kiowa County, Oklahoma
3	Knox County, Texas
3	La Salle Parish, Louisiana
3	Lafayette County, Arkansas
3	Lafayette County, Mississippi
3	Lake County, Tennessee
3	Lamar County, Alabama
3	Lamar County, Georgia
3	Lamar County, Mississippi
3	Lamar County, Texas
3	Lampasas County, Texas
3	Lancaster County, South Carolina
3	Latimer County, Oklahoma
3	Lauderdale County, Alabama
3	Lauderdale County, Mississippi
3	Lauderdale County, Tennessee
3	Laurens County, Georgia
3	Laurens County, South Carolina
3	Lawrence County, Alabama
3	Lawrence County, Arkansas
3	Lawrence County, Mississippi
3	Le Flore County, Oklahoma
3	Lea County, New Mexico
3	Leake County, Mississippi
3	Lee County, Alabama
3	Lee County, Arkansas
3	Lee County, Georgia
3	Lee County, Mississippi
3	Lee County, South Carolina
3	Leflore County, Mississippi
3	Lenoir County, North Carolina
3	Lexington County, South Carolina
3	Limestone County, Alabama
3	Lincoln County, Arkansas
3	Lincoln County, Georgia
3	Lincoln County, Mississippi
3	Lincoln County, Oklahoma
3	Lincoln Parish, Louisiana
3	Little River County, Arkansas
3	Llano County, Texas
3	Logan County, Arkansas
3	Logan County, Oklahoma
3	Lonoke County, Arkansas
3	Los Angeles County, California
3	Love County, Oklahoma
3	Loving County, Texas
3	Lowndes County, Alabama
3	Lowndes County, Mississippi
3	Lubbock County, Texas
3	Luna County, New Mexico
3	Lynn County, Texas
3	Macon County, Alabama
3	Macon County, Georgia
3	Madera County, California
3	Madison County, Alabama
3	Madison County, Georgia
3	Madison County, Mississippi
3	Madison County, Tennessee
3	Madison Parish, Louisiana
3	Major County, Oklahoma
3	Marengo County, Alabama
3	Marin County, California
3	Marion County, Alabama
3	Marion County, Georgia
3	Marion County, Mississippi
3	Marion County, South Carolina
3	Marion County, Texas
3	Marlboro County, South Carolina
3	Marshall County, Alabama
3	Marshall County, Mississippi
3	Marshall County, Oklahoma
3	Martin County, North Carolina
3	Martin County, Texas
3	Mason County, Texas
3	Mayes County, Oklahoma
3	McClain County, Oklahoma
3	McCormick County, South Carolina
3	McCulloch County, Texas
3	McCurtain County, Oklahoma
3	McDuffie County, Georgia
3	McIntosh County, Oklahoma
3	McNairy County, Tennessee
3	Mecklenburg County, North Carolina
3	Menard County, Texas
3	Mendocino County, California
3	Merced County, California
3	Meriwether County, Georgia
3	Midland County, Texas
3	Miller County, Arkansas
3	Mills County, Texas
3	Mississippi County, Arkansas
3	Mitchell County, Texas
3	Mohave County, Arizona
3	Monroe County, Alabama
3	Monroe County, Arkansas
3	Monroe County, Georgia
3	Monroe County, Mississippi
3	Montague County, Texas
3	Monterey County, California
3	Montgomery County, Alabama
3	Montgomery County, Arkansas
3	Montgomery County, Georgia
3	Montgomery County, Mississippi
3	Montgomery County, North Carolina
3	Moore County, North Carolina
3	Morehouse Parish, Louisiana
3	Morgan County, Alabama
3	Morgan County, Georgia
3	Morris County, Texas
3	Motley County, Texas
3	Murray County, Oklahoma
3	Muscogee County, Georgia
3	Muskogee County, Oklahoma
3	Nacogdoches County, Texas
3	Napa County, California
3	Natchitoches Parish, Louisiana
3	Navarro County, Texas
3	Neshoba County, Mississippi
3	Nevada County, Arkansas
3	New Hanover County, North Carolina
3	Newberry County, South Carolina
3	Newton County, Georgia
3	Newton County, Mississippi
3	Noble County, Oklahoma
3	Nolan County, Texas
3	Nowata County, Oklahoma
3	Noxubee County, Mississippi
3	Oconee County, Georgia
3	Oconee County, South Carolina
3	Oglethorpe County, Georgia
3	Okfuskee County, Oklahoma
3	Oklahoma County, Oklahoma
3	Okmulgee County, Oklahoma
3	Oktibbeha County, Mississippi
3	Onslow County, North Carolina
3	Orange County, California
3	Orangeburg County, South Carolina
3	Osage County, Oklahoma
3	Otero County, New Mexico
3	Ottawa County, Oklahoma
3	Ouachita County, Arkansas
3	Ouachita Parish, Louisiana
3	Palo Pinto County, Texas
3	Pamlico County, North Carolina
3	Panola County, Mississippi
3	Panola County, Texas
3	Parker County, Texas
3	Pasquotank County, North Carolina
3	Paulding County, Georgia
3	Pawnee County, Oklahoma
3	Payne County, Oklahoma
3	Peach County, Georgia
3	Pecos County, Texas
3	Pender County, North Carolina
3	Perquimans County, North Carolina
3	Perry County, Alabama
3	Perry County, Arkansas
3	Perry County, Mississippi
3	Phillips County, Arkansas
3	Pickens County, Alabama
3	Pickens County, South Carolina
3	Pike County, Alabama
3	Pike County, Arkansas
3	Pike County, Georgia
3	Pike County, Mississippi
3	Pitt County, North Carolina
3	Pittsburg County, Oklahoma
3	Placer County, California
3	Poinsett County, Arkansas
3	Polk County, Arkansas
3	Polk County, Georgia
3	Pontotoc County, Mississippi
3	Pontotoc County, Oklahoma
3	Pope County, Arkansas
3	Pottawatomie County, Oklahoma
3	Prairie County, Arkansas
3	Prentiss County, Mississippi
3	Presidio County, Texas
3	Pulaski County, Arkansas
3	Pulaski County, Georgia
3	Pushmataha County, Oklahoma
3	Putnam County, Georgia
3	Quitman County, Georgia
3	Quitman County, Mississippi
3	Rains County, Texas
3	Randolph County, Alabama
3	Randolph County, Arkansas
3	Randolph County, Georgia
3	Randolph County, North Carolina
3	Rankin County, Mississippi
3	Reagan County, Texas
3	Red River County, Texas
3	Red River Parish, Louisiana
3	Reeves County, Texas
3	Richland County, South Carolina
3	Richland Parish, Louisiana
3	Richmond County, Georgia
3	Richmond County, North Carolina
3	Riverside County, California
3	Robeson County, North Carolina
3	Rockdale County, Georgia
3	Rockwall County, Texas
3	Roger Mills County, Oklahoma
3	Rogers County, Oklahoma
3	Rowan County, North Carolina
3	Runnels County, Texas
3	Rusk County, Texas
3	Russell County, Alabama
3	Sabine County, Texas
3	Sabine Parish, Louisiana
3	Sacramento County, California
3	Saline County, Arkansas
3	Saluda County, South Carolina
3	Sampson County, North Carolina
3	San Augustine County, Texas
3	San Benito County, California
3	San Bernardino County, California
3	San Diego County, California
3	San Francisco County, California
3	San Joaquin County, California
3	San Luis Obispo County, California
3	San Mateo County, California
3	San Saba County, Texas
3	Santa Barbara County, California
3	Santa Clara County, California
3	Santa Cruz County, Arizona
3	Santa Cruz County, California
3	Schleicher County, Texas
3	Schley County, Georgia
3	Scotland County, North Carolina
3	Scott County, Arkansas
3	Scott County, Mississippi
3	Screven County, Georgia
3	Scurry County, Texas
3	Sebastian County, Arkansas
3	Seminole County, Oklahoma
3	Sequoyah County, Oklahoma
3	Sevier County, Arkansas
3	Shackelford County, Texas
3	Sharkey County, Mississippi
3	Sharp County, Arkansas
3	Shasta County, California
3	Shelby County, Alabama
3	Shelby County, Tennessee
3	Shelby County, Texas
3	Simpson County, Mississippi
3	Smith County, Mississippi
3	Smith County, Texas
3	Solano County, California
3	Somervell County, Texas
3	Sonoma County, California
3	Spalding County, Georgia
3	Spartanburg County, South Carolina
3	St. Clair County, Alabama
3	St. Francis County, Arkansas
3	Stanislaus County, California
3	Stanly County, North Carolina
3	Stephens County, Oklahoma
3	Stephens County, Texas
3	Sterling County, Texas
3	Stewart County, Georgia
3	Stonewall County, Texas
3	Sumter County, Alabama
3	Sumter County, Georgia
3	Sumter County, South Carolina
3	Sunflower County, Mississippi
3	Sutter County, California
3	Sutton County, Texas
3	Talbot County, Georgia
3	Taliaferro County, Georgia
3	Talladega County, Alabama
3	Tallahatchie County, Mississippi
3	Tallapoosa County, Alabama
3	Tarrant County, Texas
3	Tate County, Mississippi
3	Taylor County, Georgia
3	Taylor County, Texas
3	Tehama County, California
3	Telfair County, Georgia
3	Tensas Parish, Louisiana
3	Terrell County, Georgia
3	Terrell County, Texas
3	Terry County, Texas
3	Throckmorton County, Texas
3	Tift County, Georgia
3	Tillman County, Oklahoma
3	Tippah County, Mississippi
3	Tipton County, Tennessee
3	Tishomingo County, Mississippi
3	Titus County, Texas
3	Tom Green County, Texas
3	Treutlen County, Georgia
3	Troup County, Georgia
3	Tulare County, California
3	Tulsa County, Oklahoma
3	Tunica County, Mississippi
3	Turner County, Georgia
3	Tuscaloosa County, Alabama
3	Twiggs County, Georgia
3	Tyrrell County, North Carolina
3	Union County, Arkansas
3	Union County, Mississippi
3	Union County, North Carolina
3	Union County, South Carolina
3	Union Parish, Louisiana
3	Upshur County, Texas
3	Upson County, Georgia
3	Upton County, Texas
3	Van Buren County, Arkansas
3	Van Zandt County, Texas
3	Ventura County, California
3	Vernon Parish, Louisiana
3	Wagoner County, Oklahoma
3	Walker County, Alabama
3	Walthall County, Mississippi
3	Walton County, Georgia
3	Ward County, Texas
3	Warren County, Georgia
3	Warren County, Mississippi
3	Washington County, Alabama
3	Washington County, Georgia
3	Washington County, Mississippi
3	Washington County, North Carolina
3	Washington County, Oklahoma
3	Washington County, Utah
3	Washita County, Oklahoma
3	Wayne County, Mississippi
3	Wayne County, North Carolina
3	Webster County, Georgia
3	Webster County, Mississippi
3	Webster Parish, Louisiana
3	West Carroll Parish, Louisiana
3	Wheeler County, Georgia
3	Wheeler County, Texas
3	White County, Arkansas
3	Wichita County, Texas
3	Wilbarger County, Texas
3	Wilcox County, Alabama
3	Wilcox County, Georgia
3	Wilkes County, Georgia
3	Wilkinson County, Georgia
3	Wilkinson County, Mississippi
3	Williamsburg County, South Carolina
3	Wilson County, North Carolina
3	Winkler County, Texas
3	Winn Parish, Louisiana
3	Winston County, Alabama
3	Winston County, Mississippi
3	Wise County, Texas
3	Wood County, Texas
3	Woodruff County, Arkansas
3	Woods County, Oklahoma
3	Woodward County, Oklahoma
3	Worth County, Georgia
3	Yalobusha County, Mississippi
3	Yazoo County, Mississippi
3	Yell County, Arkansas
3	Yolo County, California
3	York County, South Carolina
3	Young County, Texas
3	Yuba County, California
4	Accomack County, Virginia
4	Adair County, Kentucky
4	Adams County, Ohio
4	Alamance County, North Carolina
4	Albemarle County, Virginia
4	Alexander County, Illinois
4	Alexander County, North Carolina
4	Alexandria County, Virginia
4	Allegany County, Maryland
4	Alleghany County, Virginia
4	Allen County, Kansas
4	Allen County, Kentucky
4	Amador County, California
4	Amelia County, Virginia
4	Amherst County, Virginia
4	Anderson County, Kansas
4	Anderson County, Kentucky
4	Anderson County, Tennessee
4	Anne Arundel County, Maryland
4	Appomattox County, Virginia
4	Arlington County, Virginia
4	Armstrong County, Texas
4	Atchison County, Kansas
4	Atlantic County, New Jersey
4	Audrain County, Missouri
4	Augusta County, Virginia
4	Baca County, Colorado
4	Bailey County, Texas
4	Ballard County, Kentucky
4	Baltimore City County, Maryland
4	Baltimore County, Maryland
4	Banks County, Georgia
4	Barber County, Kansas
4	Barren County, Kentucky
4	Barry County, Missouri
4	Barton County, Kansas
4	Barton County, Missouri
4	Bates County, Missouri
4	Bath County, Kentucky
4	Bath County, Virginia
4	Baxter County, Arkansas
4	Beaver County, Oklahoma
4	Bedford City County, Virginia
4	Bedford County, Tennessee
4	Bedford County, Virginia
4	Bell County, Kentucky
4	Benton County, Arkansas
4	Benton County, Missouri
4	Benton County, Oregon
4	Benton County, Tennessee
4	Berkeley County, West Virginia
4	Bernalillo County, New Mexico
4	Bertie County, North Carolina
4	Bland County, Virginia
4	Bledsoe County, Tennessee
4	Blount County, Tennessee
4	Bollinger County, Missouri
4	Bond County, Illinois
4	Boone County, Arkansas
4	Boone County, Kentucky
4	Boone County, Missouri
4	Boone County, West Virginia
4	Botetourt County, Virginia
4	Bourbon County, Kansas
4	Bourbon County, Kentucky
4	Boyd County, Kentucky
4	Boyle County, Kentucky
4	Bracken County, Kentucky
4	Bradley County, Tennessee
4	Braxton County, West Virginia
4	Breathitt County, Kentucky
4	Breckinridge County, Kentucky
4	Briscoe County, Texas
4	Bristol County, Virginia
4	Bronx County, New York
4	Brown County, Indiana
4	Brown County, Kansas
4	Brown County, Ohio
4	Brunswick County, Virginia
4	Buchanan County, Virginia
4	Buckingham County, Virginia
4	Bucks County, Pennsylvania
4	Buena Vista County, Virginia
4	Bullitt County, Kentucky
4	Buncombe County, North Carolina
4	Burke County, North Carolina
4	Burlington County, New Jersey
4	Butler County, Kansas
4	Butler County, Kentucky
4	Butler County, Missouri
4	Cabell County, West Virginia
4	Calaveras County, California
4	Caldwell County, Kentucky
4	Caldwell County, North Carolina
4	Calhoun County, West Virginia
4	Callaway County, Missouri
4	Calloway County, Kentucky
4	Calvert County, Maryland
